Row Labels,Count of INJURY_CAUSE,Sum of TOTAL_INCURRED,Average of TOTAL_INCURRED2,Sum of Normalized_Incurred,Average of Normalized_Incurred2
"Aircraft accident, n.e.c.",8,"25,406.47","3,175.81","43,606.76","5,450.84"
"Aircraft accident, unspecified",6,"83,523.70","13,920.62","158,479.77","26,413.30"
"Assaults and violent acts by person(s), n.e.c.",1795,"7,301,998.54","4,067.97","9,924,906.07","5,529.20"
"Assaults and violent acts by person(s), unspecified",3624,"17,741,296.61","4,895.50","28,748,831.30","7,932.90"
"Assaults and violent acts, unspecified",1156,"5,889,010.29","5,094.30","8,439,588.91","7,300.68"
"Assaults by animals, n.e.c.",1485,"3,190,040.75","2,148.18","4,987,225.99","3,358.40"
"Assaults by animals, unspecified",1161,"1,947,986.89","1,677.85","2,574,513.00","2,217.50"
Assist to standing,478,"2,797,560.89","5,852.64","3,225,501.59","6,747.91"
Bed height,30,"101,570.53","3,385.68","114,850.91","3,828.36"
Bed to chair,465,"3,502,219.48","7,531.65","4,002,258.46","8,607.01"
Bed to stretcher,27,"250,425.72","9,275.03","285,978.59","10,591.80"
"Bee, wasp, hornet sting",931,"463,059.54",497.38,"624,600.98",670.89
Bending to assist,315,"1,731,980.86","5,498.35","1,934,181.57","6,140.26"
"Bending, climbing, crawling, reaching, twisting",12890,"96,541,971.53","7,489.68","154,678,198.13","11,999.86"
Biting,3497,"2,689,419.48",769.06,"3,695,122.88","1,056.66"
"Bodily conditions, n.e.c.",652,"4,774,009.92","7,322.10","7,436,253.40","11,405.30"
"Bodily reaction and exertion, n.e.c.",3047,"25,941,649.15","8,513.83","38,686,556.05","12,696.61"
"Bodily reaction and exertion, unspecified",15314,"138,837,343.64","9,066.04","220,763,939.96","14,415.82"
"Bodily reaction, n.e.c.",6846,"62,277,279.92","9,096.89","91,697,859.50","13,394.37"
"Bodily reaction, unspecified",5586,"44,727,584.73","8,007.09","77,429,023.25","13,861.26"
Catching falling resident,1703,"15,265,646.35","8,963.97","17,548,636.93","10,304.54"
"Caught in or compressed by equipment or objects, n.e.",2501,"9,919,104.96","3,966.06","14,278,984.78","5,709.31"
"Caught in or compressed by equipment or objects, unsp",8442,"47,537,435.37","5,631.06","69,237,965.09","8,201.61"
"Caught in or crushed in collapsing materials, n.e.c.",105,"330,901.89","3,151.45","448,521.07","4,271.63"
"Caught in or crushed in collapsing materials, unspeci",178,"1,518,343.37","8,530.02","2,389,870.27","13,426.24"
Caught in or crushed in collapsing structure,69,"889,236.34","12,887.48","1,334,756.88","19,344.30"
Caught in running equipment or machinery,2158,"25,870,934.99","11,988.39","38,397,132.94","17,792.93"
Chair to bed,329,"2,614,332.91","7,946.30","3,062,915.03","9,309.77"
Chair to toilet,206,"1,516,860.90","7,363.40","1,729,069.18","8,393.54"
Choking,34,"189,717.31","5,579.92","215,280.41","6,331.78"
Choking on object or substance,21,"19,543.30",930.63,"24,601.17","1,171.48"
Collision,572,"4,559,048.29","7,970.36","6,281,033.84","10,980.83"
Collision between railway vehicle and other object,4,"18,237.47","4,559.37","21,380.86","5,345.22"
Collision between railway vehicle and other vehicle,2,"2,731.53","1,365.77","2,976.31","1,488.15"
Collision between railway vehicles,4,"232,285.24","58,071.31","385,178.02","96,294.51"
Collision between vehicles or mobile equipment,710,"8,378,188.97","11,800.27","11,515,624.26","16,219.19"
"Collision between vehicles, mobile equipment, n.e.c.",454,"4,938,603.78","10,877.98","7,818,541.00","17,221.46"
"Collision between vehicles, mobile equipment, unspeci",1315,"20,210,988.17","15,369.57","30,747,118.53","23,381.84"
"Compressed or pinched by rolling, sliding, or shiftin",581,"2,138,358.52","3,680.48","2,862,084.50","4,926.14"
Contact with cold objects or substances,233,"859,680.47","3,689.62","1,004,613.54","4,311.65"
"Contact with electric current of machine,tool,applian",198,"2,832,966.51","14,307.91","4,321,483.90","21,825.68"
"Contact with electric current, n.e.c.",197,"743,539.78","3,774.31","1,069,448.31","5,428.67"
"Contact with electric current, unspecified",356,"2,970,843.99","8,345.07","4,653,622.21","13,071.97"
Contact with hot objects or substances,6952,"12,567,102.62","1,807.70","17,543,888.47","2,523.57"
"Contact with objects and equipment, n.e.c.",6591,"13,362,115.26","2,027.33","20,457,728.33","3,103.89"
"Contact with objects and equipment, unspecified",27071,"59,479,424.08","2,197.16","93,800,063.85","3,464.96"
Contact with overhead power lines,12,"166,860.79","13,905.07","290,105.13","24,175.43"
Contact with skin or other exposed tissue,2860,"2,663,202.13",931.19,"3,675,607.67","1,285.18"
"Contact with temperature extremes, unspecified",175,"306,446.20","1,751.12","448,691.57","2,563.95"
"Contact with wiring, transformers, or other electrica",71,"764,332.04","10,765.24","1,298,494.08","18,288.65"
Depletion of oxygen from cave-in or collapsed materia,2,475.76,237.88,961.67,480.84
